dataset,n,zero_mean_aopc,zero_sem,token_baseline_mean_aopc,token_baseline_sem,token_baseline_minus_zero,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,holm_p
LAMBADA,130,-1.25550345378582,0.0479426282976622,-1.41470513893766,0.05114628031111776,-0.15920168515183972,-0.25432222228800905,-0.06081755451923411,0.00034406360818955533,0.00034406360818955533
IWSLT2017 DE→EN,726,-0.9623064257160816,0.018948214632173114,-1.2355631475130078,0.019728943935781586,-0.27325672179692595,-0.3116403082181461,-0.2358271988629019,8.862407549193021e-39,1.7724815098386043e-38
