dataset,n,zero_mean_aopc,zero_sem,token_baseline_mean_aopc,token_baseline_sem,token_baseline_minus_zero,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,holm_p
LAMBADA,699,-1.2760845918014367,0.0210736836990836,-0.7346333063799568,0.021757938529132062,0.5414512854214798,0.4931994673024024,0.5893948371176843,1.827414253642501e-69,1.827414253642501e-69
IWSLT2017 DE→EN,726,-0.9623064257160816,0.018948214632173114,-0.5248621803183885,0.016690978610397457,0.43744424539769333,0.40080487583501345,0.47335833047546444,8.987523831138439e-76,1.7975047662276877e-75
