dataset,method,n,zero_mean_aopc,filler_mean_aopc,filler_minus_zero,difference_ci_low,difference_ci_high,mean_kl_at_20,flip_rate_at_20
lmbd1000,random_ablation,1000,-0.26083177531312834,-0.4078599809833729,-0.14702820567024463,-0.17714870956160114,-0.11648138300484731,3.9244241250988563,0.701
lmbd1000,IG,711,-1.0697753834530928,-1.345771637935625,-0.27599625448253234,-0.30390881294225963,-0.24816149287577716,9.80351695917159,0.9873417721518988
lmbd1000,gradient_x_input,1,-0.3548653714358807,-0.33761871904134755,0.017246652394533157,0.017246652394533157,0.017246652394533157,7.941033363342285,1.0
lmbd1000,Semantic,1,-0.47670262977480893,-0.26277395337820053,0.2139286763966084,0.2139286763966084,0.2139286763966084,6.143226623535156,1.0
lmbd1000,Temperature,1,-0.4224948048591614,-0.32756541669368744,0.09492938816547397,0.09492938816547397,0.09492938816547397,5.509696960449219,1.0
lmbd1000,Fisher_k_1,1,-0.34210140556097035,-0.47615627795457843,-0.13405487239360808,-0.13405487239360808,-0.13405487239360808,8.807038307189941,1.0
IWSLT2017DE_EN,random_ablation,1000,-0.2975460103313337,-0.36317789239931303,-0.06563188206797932,-0.09188749672408304,-0.038999017443585256,3.81482719743764,0.616
IWSLT2017DE_EN,IG,1000,-0.9347862686197665,-1.2666449001763134,-0.3318586315565466,-0.35643569907830847,-0.30793612382716634,10.158977504536509,0.957
IWSLT2017DE_EN,gradient_x_input,270,-1.1064082750248512,-1.4925799237803072,-0.3861716487554562,-0.43636578829689715,-0.33721839602049103,11.10194219171449,0.9444444444444444
