model,prompt_index,method,n_tokens,is_correct,spearman,kendall_tau_b,top10_jaccard
LLaMA-3.2 1B,41,Random,97,True,0.026812013465179883,0.01589347079037801,0.05263157894736842
LLaMA-3.2 1B,42,Temperature Scope,66,False,0.5023483978707859,0.3445221445221445,0.2727272727272727
LLaMA-3.2 1B,42,Semantic Scope,66,False,0.40285982674042387,0.2801864801864802,0.2727272727272727
LLaMA-3.2 1B,42,Input × Gradient,66,False,0.4627283164596598,0.31002331002331,0.2727272727272727
LLaMA-3.2 1B,42,Fisher Scope (k=4),66,False,0.5260619977037888,0.3696969696969697,0.5555555555555556
LLaMA-3.2 1B,42,Integrated Gradients,66,False,0.34303308631666846,0.22051282051282053,0.0
LLaMA-3.2 1B,42,Random,66,False,0.17148523118672376,0.12167832167832168,0.07692307692307693
LLaMA-3.2 1B,43,Temperature Scope,78,True,0.7225559250875706,0.5384615384615385,0.6
LLaMA-3.2 1B,43,Semantic Scope,78,True,0.7627435855283956,0.5830835830835831,0.45454545454545453
LLaMA-3.2 1B,43,Input × Gradient,78,True,0.7778171195892714,0.5904095904095904,0.45454545454545453
