dataset,method,n,zero_aopc,filler_aopc,difference,ci_low,ci_high,kl_at_20pct,flip_rate_at_20pct
lmbd1000,Random,1000,-0.26083177531312834,-0.4078599809833729,-0.14702820567024463,-0.17762213043559313,-0.11656555161205594,3.9244241250988563,0.701
lmbd1000,Integrated Gradients,1000,-1.0953011333687603,-1.3551534123925346,-0.2598522790237745,-0.2842184626972436,-0.2360109304694525,9.856789650648832,0.98
lmbd1000,Input × Gradient,1000,-1.2842518351710688,-1.611475126188128,-0.32722329101705905,-0.35188984303268644,-0.3028584882502669,10.90163173277676,0.989
lmbd1000,Semantic Scope,1000,-1.2975074614611304,-1.6260154335535482,-0.32850797209241794,-0.3530521013779068,-0.3042313353994518,11.04753100323677,0.99
lmbd1000,Temperature Scope,1000,-1.3165351581684948,-1.6859465680077905,-0.3694114098392959,-0.3943406442844905,-0.34412878116548046,11.3694774203673,0.994
lmbd1000,Fisher Scope,1000,-1.3200660647840992,-1.6921672063560065,-0.3721011415719077,-0.3968268691809431,-0.3468273205324705,11.424631577804684,0.994
IWSLT2017DE_EN,Random,1000,-0.2975460103313337,-0.36317789239931303,-0.06563188206797932,-0.09188087322793843,-0.03948406582929443,3.81482719743764,0.616
IWSLT2017DE_EN,Integrated Gradients,1000,-0.9347862686197665,-1.2666449001763134,-0.3318586315565466,-0.35586438976797014,-0.30796391083519675,10.158977504536509,0.957
IWSLT2017DE_EN,Input × Gradient,1000,-1.0433891860644202,-1.459641928851814,-0.4162527427873938,-0.4430316030827641,-0.38968791237271744,10.975624133206903,0.961
IWSLT2017DE_EN,Semantic Scope,1000,-1.0573773714655939,-1.488749534027721,-0.43137216256212707,-0.45858409564675956,-0.4040681233288286,11.264855591878295,0.967
IWSLT2017DE_EN,Temperature Scope,1000,-1.0928041070221792,-1.534146808527678,-0.4413427015054986,-0.46785692774291426,-0.4146739535408689,11.515947871759534,0.978
IWSLT2017DE_EN,Fisher Scope,1000,-1.0793149470088523,-1.5289522878298538,-0.44963734082100126,-0.47664621460487056,-0.42281544168366336,11.3867625669986,0.976
