model,method,dataset,n,mean_aopc,sem_aopc
Gemma-3 4B,Random,IWSLT2017 DE→EN,1000,-0.14119539078921078,0.004972383113204613
Gemma-3 4B,Integrated Gradients,LAMBADA,1000,-0.5116109245538711,0.006809112831675436
Gemma-3 4B,Integrated Gradients,IWSLT2017 DE→EN,1000,-0.4246199677035213,0.007474045043909235
Gemma-3 4B,Input × Gradient,LAMBADA,1000,-0.5132548769623041,0.006940059671417449
Gemma-3 4B,Input × Gradient,IWSLT2017 DE→EN,1000,-0.4260598470956087,0.007476655198489715
Gemma-3 4B,Semantic Scope,LAMBADA,1000,-0.5141564790457487,0.006817270567673047
Gemma-3 4B,Semantic Scope,IWSLT2017 DE→EN,1000,-0.4225971437633037,0.007202481614689184
Gemma-3 4B,Temperature Scope,LAMBADA,1000,-0.5391786557167769,0.006442024194619185
Gemma-3 4B,Temperature Scope,IWSLT2017 DE→EN,1000,-0.4817286943644285,0.0072127647924833185
Gemma-3 4B,Fisher Scope,LAMBADA,1000,-0.5238711201876403,0.006829446924363198
Gemma-3 4B,Fisher Scope,IWSLT2017 DE→EN,1000,-0.4552545152544975,0.007368165913752726
