model,dataset,subset,method,n,mean_aopc,sem_aopc,formatted
LLaMA-3.2 3B,IWSLT2017 DE→EN,correct_only,Temperature Scope,754,-0.7909963227562765,0.019843546232682117,-0.791 ± 0.020
LLaMA-3.2 3B,IWSLT2017 DE→EN,correct_only,Fisher Scope,754,-0.8271294848270779,0.019866025484686092,-0.827 ± 0.020
Qwen2.5 1.5B,LAMBADA,all,Random,1000,-0.3491672275458102,0.010779445605043427,-0.349 ± 0.011
Qwen2.5 1.5B,LAMBADA,all,Integrated Gradients,1000,-1.7138691841079459,0.021744168438543293,-1.714 ± 0.022
Qwen2.5 1.5B,LAMBADA,all,Input × Gradient,1000,-1.719853476168455,0.02172761303374597,-1.720 ± 0.022
Qwen2.5 1.5B,LAMBADA,all,Semantic Scope,1000,-1.6820911783434986,0.02195180582404984,-1.682 ± 0.022
Qwen2.5 1.5B,LAMBADA,all,Temperature Scope,1000,-1.8606996065251715,0.019983775585448407,-1.861 ± 0.020
Qwen2.5 1.5B,LAMBADA,all,Fisher Scope,1000,-1.7747622886842653,0.020100349632512223,-1.775 ± 0.020
Qwen2.5 1.5B,LAMBADA,correct_only,Random,700,-0.3853470092214394,0.013505918465090009,-0.385 ± 0.014
Qwen2.5 1.5B,LAMBADA,correct_only,Integrated Gradients,700,-1.9122902463960028,0.022723736751219963,-1.912 ± 0.023
Qwen2.5 1.5B,LAMBADA,correct_only,Input × Gradient,700,-1.9202717276937427,0.02266946792853033,-1.920 ± 0.023
Qwen2.5 1.5B,LAMBADA,correct_only,Semantic Scope,700,-1.8924487121143212,0.02224036101514575,-1.892 ± 0.022
Qwen2.5 1.5B,LAMBADA,correct_only,Temperature Scope,700,-2.0215435424755994,0.021181804960154108,-2.022 ± 0.021
Qwen2.5 1.5B,LAMBADA,correct_only,Fisher Scope,700,-1.9210124980746868,0.02203531609715776,-1.921 ± 0.022
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Random,1000,-0.24987690977175447,0.0077623776354788935,-0.250 ± 0.008
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Integrated Gradients,1000,-1.3540497001075862,0.020288716063261245,-1.354 ± 0.020
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Input × Gradient,1000,-1.3549481553178024,0.02024968161075055,-1.355 ± 0.020
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Semantic Scope,1000,-1.2395019127053946,0.02014009361097798,-1.240 ± 0.020
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Temperature Scope,1000,-1.3801256235975519,0.02001214319211027,-1.380 ± 0.020
Qwen2.5 1.5B,IWSLT2017 DE→EN,all,Fisher Scope,1000,-1.3768525270432475,0.020187039504941922,-1.377 ± 0.020
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Random,736,-0.24493864491448678,0.009116599442751613,-0.245 ± 0.009
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Integrated Gradients,736,-1.4238452494313656,0.023410481467802686,-1.424 ± 0.023
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Input × Gradient,736,-1.4209061753378998,0.02341610212648507,-1.421 ± 0.023
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Semantic Scope,736,-1.2840067444964927,0.023517468723876295,-1.284 ± 0.024
