dataset,method,n,zero_aopc,filler_aopc,difference,ci_low,ci_high,kl_at_20pct,flip_rate_at_20pct
lmbd1000,Random,1000,-0.22887547171095912,-0.33916942398365507,-0.11029395227269588,-0.13931398056179187,-0.08223706882877606,3.2614993519388373,0.606
lmbd1000,Integrated Gradients,1000,-0.6721270452265385,-0.765328835007606,-0.09320178978106733,-0.10678449618158137,-0.07951575429157556,6.677627104390063,0.871
lmbd1000,Input × Gradient,160,-1.1166122861461156,-1.289342552710914,-0.1727302665647983,-0.215922353978474,-0.12814272514472905,8.265047500334912,0.93125
IWSLT2017DE_EN,Random,1000,-0.18684626200453625,-0.29452252061936235,-0.10767625861482612,-0.13126347477366077,-0.08468304833685328,2.9001838482852325,0.51
IWSLT2017DE_EN,Integrated Gradients,1000,-0.576434507016418,-0.7047764971474172,-0.12834199013099917,-0.14187536766277326,-0.11495865240114173,7.131852552486351,0.849
IWSLT2017DE_EN,Input × Gradient,1000,-0.7684759494200534,-1.0182491200877295,-0.24977317066767632,-0.26735318849791223,-0.23203861791534505,7.73923111384362,0.894
IWSLT2017DE_EN,Semantic Scope,650,-0.7787608901241589,-1.0129551734170306,-0.23419428329287142,-0.256030029264407,-0.2129561221420415,7.756889967287962,0.8876923076923077
