checkpoint,method,n,mean_spearman,sem_spearman,mean_top10_jaccard,sem_top10_jaccard,mean_random_floor_spearman,sem_random_floor_spearman,mean_random_floor_top10_jaccard,sem_random_floor_top10_jaccard
final_quarter,Semantic,200,0.708563210483656,0.008582378213610352,0.31456797854055113,0.010183236815133096,4.5445169809827796e-05,0.0016521297029403086,0.05926278080483563,0.0009749703487916442
final_quarter,Temperature,200,0.6813598494712039,0.010298483568570323,0.32860498235381724,0.010752368250811523,0.0002077592922932897,0.0018354356679552868,0.059496838858374285,0.0008917651649148049
final_quarter,Fisher,200,0.668146532525371,0.010150357783591248,0.29873232586581233,0.010946937681807505,0.0005862457562361186,0.0018859045313553249,0.05907115946868874,0.0008983634734496799
final_half,Semantic,200,0.6230717707250106,0.009971939734500782,0.23514380374118957,0.008007991451188969,-0.0017558895915554102,0.0018364573518789224,0.05941416873707554,0.000915604253933252
final_half,Temperature,200,0.6043867393668019,0.011664544050541266,0.2661040025209613,0.009269380937315675,0.0010925881816222502,0.0017852644983049307,0.059025937406791566,0.0010614822337426417
final_half,Fisher,200,0.5833116028197705,0.011924293263250688,0.21046541321491583,0.009048095364990917,-0.00018681328255123127,0.0018717648663032725,0.05874035230449964,0.0008835265512838937
all_blocks,Semantic,200,0.15163997970911247,0.01038059599554491,0.16779679453373578,0.005557969704898475,-0.00036573032027193987,0.0017266134085789516,0.06031282150118551,0.0009302940246101222
all_blocks,Temperature,200,0.1450219577197439,0.010416324031912979,0.18096370843781415,0.00610917606831097,0.0006256840806119243,0.0016829561922631524,0.058155901264415805,0.0008757053560593045
all_blocks,Fisher,200,0.13510330121222858,0.010442650397454418,0.1489962736213415,0.005763974191211189,-0.001097331914584719,0.001725223752987522,0.05845908398718626,0.0008564565669226819
