alpha,bos_1_mass,bos_2_mass,bos_plus_2_content_mass
0.01,0.5133292078971863,0.5865195989608765,0.7148451805114746
0.02,0.2988508343696594,0.4001029133796692,0.569512665271759
0.03,0.35796576738357544,0.5981391668319702,0.7421598434448242
0.04,0.10354072600603104,0.1449836641550064,0.2585044503211975
0.05,0.07218589633703232,0.11550670117139816,0.22358237206935883
0.060000000000000005,0.09714669734239578,0.2373303920030594,0.34262755513191223
0.06999999999999999,0.054984088987112045,0.0997980386018753,0.1808946579694748
0.08,0.0677710697054863,0.17462456226348877,0.2749279737472534
0.09,0.07311134040355682,0.14292462170124054,0.2423699051141739
0.09999999999999999,0.06767231971025467,0.14479005336761475,0.24988208711147308
0.11,0.07705184072256088,0.18966352939605713,0.3035636842250824
0.12,0.12072397768497467,0.24168822169303894,0.35087066888809204
0.13,0.12563879787921906,0.2479749172925949,0.3436680734157562
0.14,0.11202383786439896,0.2267594039440155,0.3187355399131775
0.15000000000000002,0.08631283789873123,0.19585683941841125,0.2883482575416565
0.16,0.06994906812906265,0.17514461278915405,0.2613348066806793
0.17,0.07329295575618744,0.1721602976322174,0.25728729367256165
0.18000000000000002,0.07946112006902695,0.17622776329517365,0.27432385087013245
0.19,0.08210298418998718,0.18027985095977783,0.3039306700229645
0.2,0.08215583115816116,0.17959754168987274,0.33351215720176697
0.21000000000000002,0.07966355234384537,0.17349238693714142,0.3488331437110901
0.22,0.0759890154004097,0.16562941670417786,0.3465108573436737
0.23,0.07269424945116043,0.15882723033428192,0.332899808883667
0.24000000000000002,0.07261974364519119,0.1579127162694931,0.3203199505805969
0.25,0.08048789203166962,0.1695953905582428,0.31271636486053467
0.26,0.10059074312448502,0.1953427642583847,0.303442120552063
0.27,0.11397888511419296,0.21185302734375,0.2933020293712616
0.28,0.10968682914972305,0.20274922251701355,0.29819002747535706
0.29000000000000004,0.08529706299304962,0.16549097001552582,0.311278760433197
0.3,0.06657739728689194,0.13333359360694885,0.32831552624702454
