method,bos_1_mass,bos_2_mass,bos_plus_2_content_mass
Integrated Gradients (path aggregate),0.2626550495624542,0.4855116903781891,0.6106637120246887
Semantic Scope (α=1),0.07011770801139042,0.1391081911659479,0.28097849580882633
Temperature Scope (α=1),0.07926302001364448,0.16128894919314216,0.2906411920463481
Fisher Scope (α=1),0.08013808345481613,0.16160815831752026,0.2904788601898704
