checkpoint,method,n,mean_spearman,sem_spearman,mean_top10_jaccard,sem_top10_jaccard,mean_random_floor_spearman,sem_random_floor_spearman,mean_random_floor_top10_jaccard,sem_random_floor_top10_jaccard
final_quarter,Semantic,200,0.8193729774666286,0.007933498962681458,0.44288756629507403,0.014103135605173331,0.001642930527327029,0.00192591394213183,0.058709492039159886,0.0010084892634744191
final_quarter,Temperature,200,0.8466585241216705,0.006266469701613531,0.5246924856189561,0.01240963961698629,-0.001183087169548113,0.0017698331724193964,0.059500467690746156,0.0009411374988173082
final_quarter,Fisher,200,0.8282396740465755,0.007042827503953426,0.469862462700698,0.014448235674865254,-0.0010817659592966924,0.0017431926513009892,0.058250676176192895,0.0009202714533249979
final_half,Semantic,200,0.7486663608667024,0.009192139631136916,0.3859013299651845,0.014926126053666215,-0.0013079923284895908,0.0018008990465493942,0.059098610187261924,0.000984957830225632
final_half,Temperature,200,0.7733757662974725,0.008385879889456332,0.4460739962651727,0.01167788391891504,0.0015764856772407633,0.0019286401132384892,0.05929139448818258,0.0009510395618023902
final_half,Fisher,200,0.7596225249346601,0.00871710394115681,0.3974668368267439,0.01447096237703211,-0.0002854526310872074,0.0018285114679514915,0.058833245628304186,0.0010814164335613335
all_blocks,Semantic,200,0.23404716040163664,0.013278256659691073,0.17242584578304396,0.009288352128307595,-0.001468651807053494,0.0018318663359449133,0.05851751793554257,0.0010629416245604222
all_blocks,Temperature,200,0.23400862285405236,0.013608756373728527,0.1873458582536352,0.00794205780925755,0.00046694113864642264,0.0019605662449787608,0.05901309385621557,0.0009929967421421157
all_blocks,Fisher,200,0.2126339254206831,0.01343609324220944,0.15589620230243129,0.009218609586926798,-0.0007390276522474588,0.0017722147977594013,0.05854813780859514,0.0010090901074684764
