checkpoint,method,n,mean_spearman,sem_spearman,mean_top10_jaccard,sem_top10_jaccard,mean_random_floor_spearman,sem_random_floor_spearman,mean_random_floor_top10_jaccard,sem_random_floor_top10_jaccard
final_quarter,Semantic,200,0.6058375733796756,0.011017747336849175,0.23592229560309355,0.009663020253521984,0.0001492451112470392,0.001748883873147927,0.0603400429476498,0.0008563048610226083
final_quarter,Temperature,200,0.6080074660152553,0.010593027335394207,0.23099046771973497,0.008416682089883096,0.001615657104848619,0.0016317556839340012,0.05919500678371076,0.0009361970135945006
final_quarter,Fisher,200,0.5703715511384104,0.01278439951222363,0.19666935127955815,0.00831394970092334,0.001960507050996436,0.0016590572899212502,0.058714167284144046,0.0009873913568432097
final_half,Semantic,200,0.4728193084473426,0.011788685060658182,0.1380181188929968,0.007006087527480514,-0.0029824925937661645,0.0019389493798128532,0.058321954664469544,0.000950663645086552
final_half,Temperature,200,0.5032221705710345,0.01110489774212124,0.13944297727821742,0.007036042713382935,0.00042905250829065774,0.0018971619675989117,0.06070024401038574,0.0009938628444506534
final_half,Fisher,200,0.4486381998564288,0.013267976040407147,0.11231532857884481,0.006251225149464436,-0.00208892843702195,0.0018481190454218573,0.05897857187694019,0.0009733941370801993
all_blocks,Semantic,200,0.09045935751650834,0.012032463628974421,0.1076998898176031,0.004473663847776173,7.914370227557047e-05,0.0019256885865876702,0.05966337031481451,0.0009223711724675464
all_blocks,Temperature,200,0.10606943456253032,0.01131151614992954,0.11203002136509359,0.00495741343825788,-0.001333767483159532,0.0018553169649380718,0.05853862286993644,0.0009007454218178095
all_blocks,Fisher,200,0.06974494862935203,0.013139345291844746,0.09253681922895239,0.004319981973532961,0.00012723686590619606,0.0017617018510957634,0.05751605383539529,0.0009476298571557497
