checkpoint,method,n,mean_spearman,sem_spearman,mean_top10_jaccard,sem_top10_jaccard,mean_random_floor_spearman,sem_random_floor_spearman,mean_random_floor_top10_jaccard,sem_random_floor_top10_jaccard
final_quarter,Semantic,200,0.8799440534602431,0.006000528347710166,0.5871577442165677,0.013121919630517854,0.0013255220876936492,0.0017100089899441508,0.05992481209415537,0.0008417154437046612
final_quarter,Temperature,200,0.8229427189169206,0.006755273528938632,0.5454347915156739,0.013764653339187007,0.0009391667880542484,0.0018299067015404116,0.060407260937171595,0.0010083440500261252
final_quarter,Fisher,200,0.8368660196091845,0.006615899835396679,0.5565254916651975,0.013530937904785606,0.0011178845918498475,0.0019091264921429413,0.05935039449895538,0.0009787234563568572
final_half,Semantic,200,0.804976745777531,0.007241454338936894,0.49494422652510894,0.01305554081046302,-0.0035911691023594473,0.0017969773174658843,0.05831941845059862,0.0008707820955099885
final_half,Temperature,200,0.8073669910214534,0.007067401305509142,0.4697523693626635,0.01325406938738469,0.0019819007594886638,0.001663522271615071,0.059137305529662,0.0009863935914615296
final_half,Fisher,200,0.7940296189018156,0.00811280462967973,0.508347569398266,0.013970113061613977,-0.0013841382709551065,0.001731919126943158,0.058864933482615706,0.000916537718671326
all_blocks,Semantic,200,0.3391969438977741,0.013925159704773545,0.25670467664430513,0.009477328217135315,-0.002353865416654622,0.0019656473175375553,0.059349615295545596,0.0010259854626076068
all_blocks,Temperature,200,0.35599528660876234,0.013428666072541803,0.24063809681031045,0.008809942689113323,-0.003361308558304795,0.0017638075300342951,0.059689137084479656,0.0009984926281026035
all_blocks,Fisher,200,0.3289923833959548,0.013664193921284097,0.25077806880941556,0.008874442098367609,-4.899310886968059e-05,0.001849337605435942,0.057067076418313295,0.0008944978030175017
